term,concept_id,preferred_label,original_term,original_class,class,regex,abc_role,abc_subrole,domain,concept_family,node_level,analysis_tier,atlas_layer,include_primary,primary_atlas_eligible,retain_reason,notes,dictionary_hit_present,corpus_hit_n,corpus_hit_pct,outcomes_supported,outcome_support_vector,total_outcome_cohit_articles,max_outcome_cohit_articles,dominant_outcome,separation_reason
pulmonary_fibrosis,RAILD_V2_180,pulmonary fibrosis,pulmonary_fibrosis,phenotype,phenotype,(?i:\b(pulmonary\s+fibrosis|lung\s+fibrosis|fibrosing\s+interstitial\s+lung\s+disease|fibrotic\s+interstitial\s+lung\s+disease|fibrotic\s+ILD)\b),B,B_ILD_phenotype_or_extent,ILD_phenotype,fibrotic_phenotype,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=405/1493; B/fibrotic phenotype; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,413,27.66,3,AE-ILD=5; progression=105; mortality=118,228,118,mortality,Sensitivity/supporting node retained outside primary display rules.
airway_disease,RAILD_V2_044,airway disease,airway_disease,airway,airway,(?i:\b(airway\s+disease)\b),B,B_airway_disease,airway_disease,airway_disease,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,airway disease; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,31,2.08,2,AE-ILD=0; progression=5; mortality=7,12,7,mortality,Sensitivity/supporting node retained outside primary display rules.
VRS,RAILD_V2_048,VRS,VRS,qct,qct,(?i:\b(vessel[-\s]?related\s+structures|\bVRS\b)\b),B,B_measurement_derived_imaging_feature,measurement_derived_imaging_feature,measurement_derived_imaging_feature,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_sensitivity_as_measurement_derived_imaging_feature,vessel-related structures; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: VRS moved to measurement-derived imaging sensitivity layer.,TRUE,1,0.07,2,AE-ILD=0; progression=1; mortality=1,2,1,progression,Measurement/modality node retained as sensitivity/supporting layer rather than primary disease-state bridge.
HRCT,RAILD_V2_179,HRCT,HRCT,radiology,radiology,(?i:\b(HRCT|high[-\s]?resolution\s+(computed\s+)?tomography|high[-\s]?resolution\s+CT)\b),B,B_measurement_modality,imaging_modality,measurement_modality,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_coverage_and_sensitivity_as_measurement_modality_not_primary_bridge,complete_from_abstract_20260504; abstract_n=330/1493; B/imaging modality; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.1_hrct_modality_patch: HRCT retained as an imaging measurement modality but excluded from primary disease-state bridge analyses.,TRUE,330,22.1,3,AE-ILD=7; progression=73; mortality=108,188,108,mortality,Measurement/modality node retained as sensitivity/supporting layer rather than primary disease-state bridge.
quantitative_CT,RAILD_V2_047,quantitative CT,quantitative_CT,qct,qct,(?i:\b(quantitative\s+CT|quantitative\s+computed\s+tomography|\bQCT\b|CALIPER)\b),B,B_measurement_modality,imaging_modality,measurement_modality,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_coverage_and_sensitivity_as_quantitative_imaging_method_not_primary_bridge,QCT; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: quantitative CT moved from primary disease-state bridge to measurement/sensitivity layer.,TRUE,10,0.67,2,AE-ILD=0; progression=5; mortality=3,8,5,progression,Measurement/modality node retained as sensitivity/supporting layer rather than primary disease-state bridge.
Cytokine_inflammation,RAILD_V2_105,Cytokine inflammation,Cytokine_inflammation,molecular,molecular,(?i:\b(?:IL[-\s]?(?:1|6|10|17|18|23)|TNF(?:[-\s]?(?:α|alpha))?|IFN(?:[-\s]?(?:γ|gamma))?|TGF(?:[-\s]?(?:β|beta))?|CXCL\d+|CCL\d+)\b),B,B_molecular_pathway,molecular_pathway,aggregate_inflammation_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,aggregated cytokine signature; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,123,8.24,3,AE-ILD=2; progression=32; mortality=27,61,32,progression,Sensitivity/supporting node retained outside primary display rules.
Fibrosis_pathway,RAILD_V2_106,Fibrosis pathway,Fibrosis_pathway,molecular,molecular,(?i:\b(?:TGF(?:[-\s]?(?:β|beta))?|Smad|α\s*SMA|alpha\s*SMA|collagen|fibronectin|periostin|CTGF|MMP\d*|YAP|TAZ)\b),B,B_molecular_pathway,molecular_pathway,aggregate_fibrosis_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,fibrosis signaling; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,138,9.24,3,AE-ILD=5; progression=35; mortality=26,66,35,progression,Sensitivity/supporting node retained outside primary display rules.
Immune_checkpoint,RAILD_V2_107,Immune checkpoint,Immune_checkpoint,molecular,molecular,(?i:\b(?:PD[-\s]?1|PD[-\s]?L1|CTLA[-\s]?4?|TIM[-\s]?3|LAG[-\s]?3)\b),B,B_molecular_pathway,molecular_pathway,aggregate_checkpoint_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,checkpoint molecules; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,7,0.47,2,AE-ILD=0; progression=1; mortality=3,4,3,mortality,Sensitivity/supporting node retained outside primary display rules.
Oxidative_stress_pathway,RAILD_V2_109,Oxidative stress pathway,Oxidative_stress_pathway,molecular,molecular,(?i:\b(?:NRF2|NFE2L2|KEAP1|GPX\d*|SOD\d*|catalase|MPO|4[-\s]?HNE|8[-\s]?OHdG|oxidative\s+stress|oxidant\s+stress|reactive\s+oxygen\s+species|malondialdehyde)\b),B,B_molecular_pathway,molecular_pathway,aggregate_oxidative_stress_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,ROS/oxidative stress signature (word-bounded); safe_complete_patch_20260519; tightened; Removed standalone ROS token and replaced it with the full phrase reactive oxygen species; also avoided standalone MDA in the aggregate pathway.; v2_qc: No standalone ROS token; retains full phrase reactive oxygen species and specific oxidative markers to avoid substring/abbreviation errors.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,27,1.81,3,AE-ILD=1; progression=4; mortality=11,16,11,mortality,Sensitivity/supporting node retained outside primary display rules.
ILD_onset_incidence,RAILD_V2_191,ILD onset incidence,ILD_onset_incidence,outcome,outcome,(?i:\b(incident\s+(ILD|interstitial\s+lung\s+disease)|ILD\s+incidence|incidence\s+of\s+(ILD|interstitial\s+lung\s+disease)|development\s+of\s+(ILD|interstitial\s+lung\s+disease)|new[-\s]?onset\s+(ILD|interstitial\s+lung\s+disease)|occurrence\s+of\s+(ILD|interstitial\s+lung\s+disease))\b),C,C_incident_ILD,clinical_outcome,incident_ILD,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=63/1493; C/outcome; incident/onset ILD signal frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,65,4.35,2,AE-ILD=0; progression=4; mortality=19,23,19,mortality,Sensitivity/supporting node retained outside primary display rules.
ICU_admission,RAILD_V2_133,ICU admission,ICU_admission,outcome,outcome,(?i:\b(ICU\s+admission|intensive\s+care\s+unit)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: critical care; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,7,0.47,3,AE-ILD=1; progression=2; mortality=5,8,5,mortality,Sensitivity/supporting node retained outside primary display rules.
LTOT,RAILD_V2_130,LTOT,LTOT,outcome,outcome,(?i:\b(long[-\s]?term\s+oxygen\s+therapy|\bLTOT\b)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: oxygen requirement; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,1,0.07,1,AE-ILD=0; progression=0; mortality=1,1,1,mortality,Sensitivity/supporting node retained outside primary display rules.
hospitalization,RAILD_V2_052,hospitalization,hospitalization,outcome,outcome,(?i:\bhospitali[sz]ation\b),C,C_secondary_severe_outcome,clinical_outcome,healthcare_utilization,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,admission; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,42,2.81,3,AE-ILD=1; progression=4; mortality=32,37,32,mortality,Sensitivity/supporting node retained outside primary display rules.
lung_transplantation,RAILD_V2_190,lung transplantation,lung_transplantation,outcome,outcome,(?i:\b(lung\s+transplant(ation)?|transplant[-\s]?free\s+survival)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=27/1493; C/severe outcome; frequent enough in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,27,1.81,2,AE-ILD=0; progression=12; mortality=24,36,24,mortality,Sensitivity/supporting node retained outside primary display rules.
mechanical_ventilation,RAILD_V2_132,mechanical ventilation,mechanical_ventilation,outcome,outcome,(?i:\b(mechanical\s+ventilation|intubat(e|ion))\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: critical care; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,5,0.33,1,AE-ILD=0; progression=0; mortality=5,5,5,mortality,Sensitivity/supporting node retained outside primary display rules.
oxygen_requirement,RAILD_V2_131,oxygen requirement,oxygen_requirement,outcome,outcome,(?i:\b(oxygen\s+requirement|supplemental\s+oxygen)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: oxygen need; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,1,0.07,1,AE-ILD=0; progression=1; mortality=0,1,1,progression,Sensitivity/supporting node retained outside primary display rules.
respiratory_failure,RAILD_V2_129,respiratory failure,respiratory_failure,outcome,outcome,(?i:\b(respiratory\s+failure)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: severe event; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,22,1.47,3,AE-ILD=2; progression=8; mortality=19,29,19,mortality,Sensitivity/supporting node retained outside primary display rules.
decline,RAILD_V2_057,decline,decline,trend,modifier,(?i:\b(decline|declined|declining|reduction|reduced|decrease|decreased|decreasing|drop|dropped|worsen(ed|ing)|deteriorat(e|ed|ing|ion))\b),modifier,modifier,modifier,outcome_modifier,modifier,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,worsening; complete_from_abstract_20260504; updated; old_regex=\b(decline|reduction|decrease|drop|worsen(ed|ing))\b; abstract_n=383/1493; include deteriorate/deterioration and declined/decreased variants; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,384,25.72,3,AE-ILD=6; progression=103; mortality=127,236,127,mortality,Sensitivity/supporting node retained outside primary display rules.
pct_pred,RAILD_V2_056,pct pred,pct_pred,pft,modifier,(?i:%\s*pred(icted)?),modifier,modifier,modifier,pulmonary_function_modifier,modifier,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,%pred; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,37,2.48,2,AE-ILD=0; progression=13; mortality=16,29,16,mortality,Sensitivity/supporting node retained outside primary display rules.
DMARD_category,RAILD_V2_167,DMARD category,DMARD_category,drug,drug,(?i:\b((b/?cs|b|cs|ts)?DMARDs?|disease[-\s]?modifying\s+anti[-\s]?rheumatic\s+drugs?|biologic(al)?\s+DMARDs?|conventional\s+synthetic\s+DMARDs?|targeted\s+synthetic\s+DMARDs?)\b),A,A_treatment_context,treatment_context,treatment_category,aggregate,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=100/1493; A/upstream treatment category; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,101,6.76,3,AE-ILD=2; progression=21; mortality=30,53,30,mortality,Treatment context separated from primary disease-state bridge claims.
abatacept,RAILD_V2_015,abatacept,abatacept,bio,biologic_drug,(?i:\b(?:abatacept|ABT)\b),A,A_treatment_context,treatment_context,T_cell_costimulation_biologic,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,T-cell costim; v2_qc: Removed ABA; full abatacept and ABT retained because ABA is short/ambiguous and full term appears in defining abstracts.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,35,2.34,2,AE-ILD=0; progression=13; mortality=9,22,13,progression,Treatment context separated from primary disease-state bridge claims.
adalimumab,RAILD_V2_018,adalimumab,adalimumab,bio,biologic_drug,(?i:\badalimumab\b),A,A_treatment_context,treatment_context,TNF_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,TNFi; v2_qc: Removed ADA standalone acronym as low-yield/ambiguous; full term retained.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,9,0.6,1,AE-ILD=0; progression=2; mortality=0,2,2,progression,Treatment context separated from primary disease-state bridge claims.
