term,preferred_label,figures,panels,figure_roles,main_or_supplementary,abc_role,abc_subrole,domain,concept_family,node_level,atlas_layer,analysis_tier,include_primary,dictionary_hit_present,corpus_hit_n,corpus_hit_pct,outcomes_supported,outcome_support_vector,total_outcome_cohit_articles,max_outcome_cohit_articles,dominant_outcome,selection_rules,provenance_notes,cohit_AE.ILD,cohit_progression,cohit_mortality
mechanical_ventilation,mechanical ventilation,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,TRUE,5,0.33,1,AE-ILD=0; progression=0; mortality=5,5,5,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,5
FAM13A,FAM13A,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,4,0.27,2,AE-ILD=0; progression=1; mortality=2,3,2,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,1,2
PARN,PARN,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,2,0.13,1,AE-ILD=0; progression=0; mortality=2,2,2,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,2
RTEL1,RTEL1,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,2,0.13,1,AE-ILD=0; progression=0; mortality=2,2,2,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,2
SFTPC,SFTPC,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,2,0.13,1,AE-ILD=0; progression=0; mortality=2,2,2,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,2
DKC1,DKC1,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,1,0.07,1,AE-ILD=0; progression=0; mortality=1,1,1,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,1
LTOT,LTOT,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,TRUE,1,0.07,1,AE-ILD=0; progression=0; mortality=1,1,1,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,1
TERC,TERC,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,2,0.13,1,AE-ILD=0; progression=0; mortality=1,1,1,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,1
TINF2,TINF2,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,1,0.07,1,AE-ILD=0; progression=0; mortality=1,1,1,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,1
oxygen_requirement,oxygen requirement,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,TRUE,1,0.07,1,AE-ILD=0; progression=1; mortality=0,1,1,progression,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,1,0
8OHdG,8OHdG,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_circulating_or_tissue_biomarker,biomarker,oxidative_stress_biomarker,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
CTGF_CCN2,CTGF CCN2,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_molecular_pathway,molecular_pathway,profibrotic_pathway,specific,exploratory,exploratory,FALSE,TRUE,2,0.13,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
F2_isoprostane,F2 isoprostane,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_circulating_or_tissue_biomarker,biomarker,oxidative_stress_biomarker,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
GSH_GSSG_ratio,GSH GSSG ratio,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_circulating_or_tissue_biomarker,biomarker,oxidative_stress_biomarker,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
Galectin3,Galectin3,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_molecular_pathway,molecular_pathway,profibrotic_pathway,specific,exploratory,exploratory,FALSE,TRUE,1,0.07,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
HMOX1_HO1,HMOX1 HO1,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_circulating_or_tissue_biomarker,biomarker,oxidative_stress_biomarker,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
HNE_4HNE,HNE 4HNE,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_circulating_or_tissue_biomarker,biomarker,oxidative_stress_biomarker,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
Nrf2_KEAP1,Nrf2 KEAP1,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_molecular_pathway,molecular_pathway,oxidative_stress_pathway,specific,exploratory,exploratory,FALSE,TRUE,1,0.07,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
PAI1_SERPINE1,PAI1 SERPINE1,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_molecular_pathway,molecular_pathway,profibrotic_pathway,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
iBALT_TLS,iBALT TLS,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_cellular_process,cellular_process,lymphoid_structure,specific,primary_atlas,main,TRUE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
mtDNA_damage,mtDNA damage,Figure 5;Figure 6,Figure 5:Main;Figure 6:Integrated summary,biomarker/molecular term summary;integrated term-outcome evidence,main,B,B_circulating_or_tissue_biomarker,biomarker,oxidative_stress_biomarker,specific,exploratory,exploratory,FALSE,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Biomarker/molecular term support summary from current dictionary scope.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,0,0
glucocorticoid,glucocorticoid,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,A,A_treatment_context,treatment_context,glucocorticoid,specific,treatment_context,treatment_context,FALSE,TRUE,126,8.44,3,AE-ILD=2; progression=26; mortality=42,70,42,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",2,26,42
immunosuppressive_therapy,immunosuppressive therapy,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,A,A_treatment_context,treatment_context,treatment_category,aggregate,treatment_context,treatment_context,FALSE,TRUE,80,5.36,3,AE-ILD=4; progression=23; mortality=37,64,37,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",4,23,37
methotrexate,methotrexate,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,A,A_treatment_context,treatment_context,csDMARD,specific,treatment_context,treatment_context,FALSE,TRUE,118,7.9,3,AE-ILD=1; progression=28; mortality=31,60,31,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",1,28,31
DMARD_category,DMARD category,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,A,A_treatment_context,treatment_context,treatment_category,aggregate,treatment_context,treatment_context,FALSE,TRUE,101,6.76,3,AE-ILD=2; progression=21; mortality=30,53,30,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",2,21,30
antifibrotic_therapy,antifibrotic therapy,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,A,A_treatment_context,treatment_context,antifibrotic,aggregate,treatment_context,treatment_context,FALSE,TRUE,46,3.08,3,AE-ILD=1; progression=26; mortality=19,46,26,progression,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",1,26,19
respiratory_infection_context,respiratory infection context,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,context,infection_respiratory_context,infection_safety_context,respiratory_infection_context,specific,infection_context,infection_context,FALSE,TRUE,39,2.61,3,AE-ILD=3; progression=10; mortality=18,31,18,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Infection-context node; retained separately, not interpreted as causal infection attribution.",3,10,18
infection_safety_event,infection safety event,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,context,infection_safety_context,infection_safety_context,infection_safety_event,specific,infection_context,infection_context,FALSE,TRUE,57,3.82,3,AE-ILD=1; progression=9; mortality=20,30,20,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Infection-context node; retained separately, not interpreted as causal infection attribution.",1,9,20
tocilizumab,tocilizumab,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,A,A_treatment_context,treatment_context,IL6_pathway_biologic,specific,treatment_context,treatment_context,FALSE,TRUE,26,1.74,3,AE-ILD=2; progression=11; mortality=10,23,11,progression,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",2,11,10
drug_induced_ILD,drug induced ILD,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,C,C_treatment_safety_context,treatment_safety_context,drug_safety_outcome,specific,treatment_context,treatment_context,FALSE,TRUE,16,1.07,3,AE-ILD=2; progression=3; mortality=5,10,5,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Treatment-context node; retained separately, not interpreted as treatment effect or drug-risk estimate.",2,3,5
infection_triggered_AE_context,infection-associated AE-ILD context,Figure 2,Figure 2:Outcome-domain matrix,cell top concept node;term-outcome pair,main,context,AE_ILD_infection_context,infection_safety_context,infection_AE_context,specific,infection_context,infection_context,FALSE,TRUE,1,0.07,3,AE-ILD=1; progression=1; mortality=1,3,1,AE-ILD,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.,"Infection-context node; retained separately, not interpreted as causal infection attribution.",1,1,1
MUC5B,MUC5B,Figure 2;Figure 3;Figure 4;Figure 6,Figure 2:Outcome-domain matrix;Figure 3:B;Figure 3:B/C;Figure 4:A/B;Figure 6:Integrated summary,cell top concept node;term-outcome pair;AE-ILD ABC triad component;AE-ILD bridge network node;AE-ILD bridge network edge endpoint;progression/mortality ABC triad component;assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,primary_atlas,main,TRUE,TRUE,29,1.94,3,AE-ILD=1; progression=5; mortality=11,17,11,mortality,Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.;Conservative AE-ILD ABC triads from primary disease-state atlas with prespecified support filters.;Displayed nodes in AE-ILD bridge atlas.;Displayed edge endpoints in AE-ILD bridge atlas.;Progression and mortality ABC triads selected by primary disease-state atlas support filters.;All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,1,5,11
disease_duration,disease duration,Figure 2;Figure 3;Figure 4;Figure 6,Figure 2:Outcome-domain matrix;Figure 3:B;Figure 3:B/C;Figure 4:A/B;Figure 6:Integrated summary,cell top concept node;term-outcome pair;AE-ILD ABC triad component;AE-ILD bridge network node;AE-ILD bridge network edge endpoint;progression/mortality ABC triad component;displayed shared/outcome-facing term;assigned integrated summary term;integrated term-outcome evidence,main,A,A_RA_clinical_context,host_factor,RA_clinical_context,specific,primary_atlas,main,TRUE,TRUE,109,7.3,3,AE-ILD=1; progression=18; mortality=29,48,29,mortality,"Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.;Conservative AE-ILD ABC triads from primary disease-state atlas with prespecified support filters.;Displayed nodes in AE-ILD bridge atlas.;Displayed edge endpoints in AE-ILD bridge atlas.;Progression and mortality ABC triads selected by primary disease-state atlas support filters.;Integrated summary terms assigned by all-three-outcome sharedness, two-outcome dagger rule and outcome-facing support.;All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.",Displayed according to current dictionary metadata and figure-specific support rules.,1,18,29
male_sex,male sex,Figure 2;Figure 3;Figure 4;Figure 6,Figure 2:Outcome-domain matrix;Figure 3:A;Figure 3:B;Figure 3:B/C;Figure 4:A/B;Figure 6:Integrated summary,cell top concept node;term-outcome pair;AE-ILD signed wording term;AE-ILD ABC triad component;AE-ILD bridge network node;AE-ILD bridge network edge endpoint;progression/mortality ABC triad component;displayed shared/outcome-facing term;assigned integrated summary term;integrated term-outcome evidence,main,A,A_host_factor,host_factor,host_demographic,specific,primary_atlas,main,TRUE,TRUE,215,14.4,3,AE-ILD=1; progression=33; mortality=86,120,86,mortality,"Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.;AE-ILD signed-effect terms selected by direction-bearing support and display limits.;Conservative AE-ILD ABC triads from primary disease-state atlas with prespecified support filters.;Displayed nodes in AE-ILD bridge atlas.;Displayed edge endpoints in AE-ILD bridge atlas.;Progression and mortality ABC triads selected by primary disease-state atlas support filters.;Integrated summary terms assigned by all-three-outcome sharedness, two-outcome dagger rule and outcome-facing support.;All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.",Displayed according to current dictionary metadata and figure-specific support rules.,1,33,86
smoking,smoking,Figure 2;Figure 3;Figure 4;Figure 6,Figure 2:Outcome-domain matrix;Figure 3:A;Figure 3:B;Figure 3:B/C;Figure 4:A/B;Figure 6:Integrated summary,cell top concept node;term-outcome pair;AE-ILD signed wording term;AE-ILD ABC triad component;AE-ILD bridge network node;AE-ILD bridge network edge endpoint;progression/mortality ABC triad component;displayed shared/outcome-facing term;assigned integrated summary term;integrated term-outcome evidence,main,A,A_environmental_exposure,environmental_exposure,environmental_exposure,specific,primary_atlas,main,TRUE,TRUE,212,14.2,3,AE-ILD=2; progression=40; mortality=78,120,78,mortality,"Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.;AE-ILD signed-effect terms selected by direction-bearing support and display limits.;Conservative AE-ILD ABC triads from primary disease-state atlas with prespecified support filters.;Displayed nodes in AE-ILD bridge atlas.;Displayed edge endpoints in AE-ILD bridge atlas.;Progression and mortality ABC triads selected by primary disease-state atlas support filters.;Integrated summary terms assigned by all-three-outcome sharedness, two-outcome dagger rule and outcome-facing support.;All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.",Displayed according to current dictionary metadata and figure-specific support rules.,2,40,78
older_age,older age,Figure 2;Figure 3;Figure 4;Figure 6,Figure 2:Outcome-domain matrix;Figure 3:A;Figure 3:B;Figure 3:B/C;Figure 4:A/B;Figure 6:Integrated summary,cell top concept node;term-outcome pair;AE-ILD signed wording term;AE-ILD ABC triad component;AE-ILD bridge network node;AE-ILD bridge network edge endpoint;progression/mortality ABC triad component;displayed shared/outcome-facing term;assigned integrated summary term;integrated term-outcome evidence,main,A,A_host_factor,host_factor,host_demographic,specific,primary_atlas,main,TRUE,TRUE,109,7.3,3,AE-ILD=2; progression=19; mortality=53,74,53,mortality,"Outcome-domain top nodes selected by term-outcome article support within prespecified clinical-domain cells.;Outcome-domain pair evidence from current dictionary and hit matrix.;AE-ILD signed-effect terms selected by direction-bearing support and display limits.;Conservative AE-ILD ABC triads from primary disease-state atlas with prespecified support filters.;Displayed nodes in AE-ILD bridge atlas.;Displayed edge endpoints in AE-ILD bridge atlas.;Progression and mortality ABC triads selected by primary disease-state atlas support filters.;Integrated summary terms assigned by all-three-outcome sharedness, two-outcome dagger rule and outcome-facing support.;All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.",Displayed according to current dictionary metadata and figure-specific support rules.,2,19,53
